ID,pred01,pred02,pred03,pred04,pred05,pred06,pred07,class01,class02
0981,10482314,8.32384,3110.4118490423443,555.260967276394,10.931693193847407,283.04153944151653,1.0792679143214825,1,1
0983,7473888,5.00613,3166.7368346839485,568.6876300862358,1.3718630720050837,14.452744548291982,0,2,0
0985,9326380,15.8299,2995.20891430592,532.8402021629556,23.14838036556933,500.30054211960754,1.9914608914242848,1,1
0987,11451726,17.77675383,3161.600287875443,565.3981303199639,62.314455747035616,1178.4787065151054,5.30860824510021,2,1
0991,7939091,17.47215701,2856.417086826792,510.77459386019666,32.611405346286446,932.7257463786024,4.053099005582824,1,1
0992,11318810,11.4168,3175.132459471134,568.4745687659051,1.1135517243676345,7.490026359462402,0,2,0
0993,6774609,13.2326,2982.15273685421,530.8948905735017,24.59035387335882,705.446628699746,2.962122265464192,1,1
0994,10616104,16.868,2891.7648795233754,511.9961859125185,44.189050794394305,1047.830178627913,4.783159626424934,1,1
0997,8199115,9.72463,3133.799022399706,563.1120208249973,1.542570233181923,15.176517465139336,0,2,0
0999,6579707,11.3246,3133.3056799489104,553.7187144041311,11.901820384659425,278.18465039852595,0.9398142359242037,1,1
1000,5024077,13.6681,3180.639891336808,567.564005051526,0.34394334137345894,0.6718127452931785,0,2,0
1001,8025680,8.35731,3099.843675930575,553.6164475289276,7.135102323567817,115.05658325401778,0.29749063745639137,1,1
1003,15375874,8.35731,3108.728023844158,557.1032745170072,6.351080562022387,132.87266820386935,0.4563971314406744,1,1
1008,8299901,7.78747,2922.570963932423,521.7145430922429,34.421723541576334,927.3130639329253,3.989175014189395,1,1
1009,14318720,7.78747,3034.6635725572555,537.4429225689637,18.369697316594422,446.1023947149139,1.907407653591724,1,1
1011,8404734,9.23076931,3004.6303198390024,531.7889743928284,22.93876128246997,562.3537978306117,2.2496623889381353,1,1
1012,9755556,7.54189213,2979.1941692603777,529.0210308275745,29.69237394652488,921.5913712589977,4.140966193764116,1,1
1014,8015257,7.34655705,3143.1234857330383,559.1297544196663,0.73084771859483,2.196423137589532,0,2,0
